"No.","Time","Source","Destination","Protocol","Length","Stream index","Info"
"1","0.000000000","2404:6800:4003:c03::bd","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","110","","443  >  52968 Len=48"
"2","0.026001268","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4003:c03::bd","UDP","95","","52968  >  443 Len=33"
"3","0.705216454","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:809::2003","UDP","174","","34475  >  443 Len=112"
"4","0.796304000","2404:6800:4007:809::2003","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","89","","443  >  34475 Len=27"
"5","0.822584451","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:809::2003","UDP","95","","34475  >  443 Len=33"
"6","0.825966570","2404:6800:4007:809::2003","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","205","","443  >  34475 Len=143"
"7","0.825966950","2404:6800:4007:809::2003","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","87","","443  >  34475 Len=25"
"8","0.826550274","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:809::2003","UDP","97","","34475  >  443 Len=35"
"9","0.852142342","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:809::2003","UDP","95","","34475  >  443 Len=33"
"10","0.946809998","2404:6800:4007:809::2003","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","87","","443  >  34475 Len=25"
"11","1.839945244","6e:df:24:b1:0e:fa","ff:ff:ff:ff:ff:ff","ARP","42","","Who has 192.168.225.121? Tell 192.168.225.1"
"12","1.839981346","20:16:b9:48:0b:f7","6e:df:24:b1:0e:fa","ARP","42","","192.168.225.121 is at 20:16:b9:48:0b:f7"
"13","2.252956632","2404:6800:4003:c04::bd","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","109","","443  >  48971 Len=47"
"14","2.279260517","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4003:c04::bd","UDP","95","","48971  >  443 Len=33"
"15","2.370939986","2404:6800:4003:c04::bd","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","109","","443  >  48971 Len=47"
"16","2.371337790","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4003:c04::bd","UDP","96","","48971  >  443 Len=34"
"17","2.424304105","192.168.225.121","91.108.56.164","SSL","219","0","Continuation Data"
"18","2.546852061","91.108.56.164","192.168.225.121","SSL","155","0","Continuation Data"
"19","2.546908378","192.168.225.121","91.108.56.164","TCP","66","0","36680  >  443 [ACK] Seq=154 Ack=90 Win=665 Len=0 TSval=1302600221 TSecr=1166313096"
"20","2.708947602","192.168.225.121","192.168.225.1","DNS","90","","Standard query 0xa4f9 A calendar.google.com OPT"
"21","2.709247566","192.168.225.121","192.168.225.1","DNS","90","","Standard query 0xbed5 AAAA calendar.google.com OPT"
"22","2.796424192","192.168.225.1","192.168.225.121","DNS","106","","Standard query response 0xa4f9 A calendar.google.com A 172.217.163.174 OPT"
"23","2.796424612","192.168.225.1","192.168.225.121","DNS","118","","Standard query response 0xbed5 AAAA calendar.google.com AAAA 2404:6800:4007:80f::200e OPT"
"24","2.798491054","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:80f::200e","QUIC","1392","","Initial, DCID=f85e0bb971af2a84"
"25","2.994395987","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:80f::200e","TCP","94","1","54698  >  443 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 SACK_PERM=1 TSval=2772001018 TSecr=0 WS=128"
"26","2.997898130","2404:6800:4007:80f::200e","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","QUIC","1392","","Initial, SCID=f85e0bb971af2a84"
"27","2.997898524","2404:6800:4007:80f::200e","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","QUIC","1392","","Initial, SCID=f85e0bb971af2a84"
"28","2.997898617","2404:6800:4007:80f::200e","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","QUIC","295","","Handshake, SCID=f85e0bb971af2a84"
"29","2.997898718","2404:6800:4007:80f::200e","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","QUIC","123","","Protected Payload (KP0)"
"30","3.001455249","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:80f::200e","QUIC","1392","","Protected Payload (KP0), DCID=f85e0bb971af2a84"
"31","3.002291498","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:80f::200e","QUIC","1388","","Protected Payload (KP0), DCID=f85e0bb971af2a84"
"32","3.002334944","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:80f::200e","QUIC","532","","Protected Payload (KP0), DCID=f85e0bb971af2a84"
"33","3.028482793","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:80f::200e","QUIC","95","","Protected Payload (KP0), DCID=f85e0bb971af2a84"
"34","3.131285952","2404:6800:4007:80f::200e","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","TCP","94","1","443  >  54698 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1360 SACK_PERM=1 TSval=1752841278 TSecr=2772001018 WS=256"
"35","3.131354392","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:80f::200e","TCP","86","1","54698  >  443 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=2772001155 TSecr=1752841278"
"36","3.132003886","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:80f::200e","TLSv1.3","671","1","Client Hello"
"37","3.132355921","2404:6800:4007:80f::200e","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","QUIC","674","","Protected Payload (KP0)"
"38","3.132356333","2404:6800:4007:80f::200e","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","QUIC","88","","Protected Payload (KP0)"
"39","3.132356453","2404:6800:4007:80f::200e","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","QUIC","87","","Protected Payload (KP0)"
"40","3.132810448","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:80f::200e","QUIC","95","","Protected Payload (KP0), DCID=f85e0bb971af2a84"
"41","3.212197676","2404:6800:4007:80f::200e","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","TCP","86","1","443  >  54698 [ACK] Seq=1 Ack=586 Win=66816 Len=0 TSval=1752841368 TSecr=2772001156"
"42","3.245181598","2404:6800:4007:80f::200e","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","TLSv1.3","298","1","Server Hello, Change Cipher Spec, Application Data"
"43","3.245233679","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:80f::200e","TCP","86","1","54698  >  443 [ACK] Seq=586 Ack=213 Win=64768 Len=0 TSval=2772001269 TSecr=1752841402"
"44","3.247954603","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:80f::200e","TLSv1.3","150","1","Change Cipher Spec, Application Data"
"45","3.480831020","2404:6800:4007:80f::200e","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","TLSv1.3","666","1","Application Data, Application Data"
"46","3.480900888","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:80f::200e","TCP","86","1","54698  >  443 [ACK] Seq=650 Ack=793 Win=64256 Len=0 TSval=2772001505 TSecr=1752841509"
"47","3.507267878","2404:6800:4007:80f::200e","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","QUIC","917","","Protected Payload (KP0)"
"48","3.508013754","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:80f::200e","QUIC","97","","Protected Payload (KP0), DCID=f85e0bb971af2a84"
"49","3.508686791","2404:6800:4007:80f::200e","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","QUIC","96","","Protected Payload (KP0)"
"50","3.508687212","2404:6800:4007:80f::200e","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","QUIC","157","","Protected Payload (KP0)"
"51","3.510909997","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:80f::200e","QUIC","95","","Protected Payload (KP0), DCID=f85e0bb971af2a84"
"52","3.609682849","2404:6800:4007:80f::200e","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","QUIC","87","","Protected Payload (KP0)"
